Country,Sex,80_above,70to79,60to69,50to59,40to49,30to39,20to29,10to19,all_age
Malaysia,Male,60.1,33.6,21.9,15.8,8.5,6.4,6.0,2.9,155.20000000000002
Malaysia,Female,36.4,15.6,9.7,5.7,3.2,2.2,1.8,0.9,75.5
Maldives,Both sexes,26.0,14.0,5.7,2.6,1.9,1.8,2.8,1.2,56.0
Maldives,Male,34.9,19.5,7.8,3.7,2.6,2.4,3.5,1.0,75.4
Maldives,Female,14.3,8.2,3.4,1.3,0.9,0.8,1.6,1.4,31.9
Mali,Both sexes,69.2,39.4,20.8,12.6,7.4,6.7,7.4,2.8,166.3
Mali,Male,113.9,60.1,30.0,18.8,12.0,11.0,10.8,3.6,260.2
Mali,Female,31.9,23.3,13.4,7.3,3.0,2.5,3.9,1.9,87.2
Malta,Both sexes,12.4,8.8,3.8,13.2,13.0,7.7,5.3,4.8,69.0
Malta,Male,33.0,14.0,6.8,20.9,22.1,12.6,8.3,4.2,121.9
Malta,Female,0.0,4.3,1.0,5.5,3.5,2.4,2.1,5.3,24.1
Mauritania,Both sexes,60.5,37.3,20.7,12.9,6.8,4.6,4.3,1.4,148.5
Mauritania,Male,112.3,61.9,32.0,19.9,10.9,7.2,6.5,1.8,252.5
Mauritania,Female,25.8,19.6,10.9,6.1,2.7,1.9,2.0,1.0,70.0
Mauritius,Both sexes,4.0,5.5,6.4,7.4,11.0,11.8,12.9,3.7,62.7
Mauritius,Male,11.5,12.9,11.9,12.7,18.4,19.2,20.4,7.4,114.39999999999999
Mauritius,Female,0.0,0.0,1.5,2.3,3.5,4.4,5.2,0.0,16.900000000000002
Mexico,Both sexes,15.7,7.9,6.1,5.9,6.0,6.5,7.5,4.2,59.8
Mexico,Male,24.8,13.0,10.7,10.1,10.2,10.4,11.8,5.3,96.3
Mexico,Female,9.5,3.3,1.9,2.0,1.9,2.7,3.1,3.1,27.5
Micronesia (Federated States of),Both sexes,39.7,17.6,13.8,9.3,8.0,12.2,21.9,10.8,133.3
Micronesia (Federated States of),Male,61.3,25.4,19.7,14.1,12.7,18.4,31.5,13.6,196.7
Micronesia (Federated States of),Female,24.7,11.7,8.2,4.7,4.3,5.1,11.2,7.8,77.69999999999999
Mongolia,Both sexes,19.0,15.9,12.5,17.4,22.2,21.7,16.4,6.9,132.0
Mongolia,Male,42.8,27.4,20.4,31.5,40.0,39.3,27.8,10.7,239.89999999999998
Mongolia,Female,6.6,7.4,6.1,5.2,5.1,3.7,4.8,3.1,42.0
Montenegro,Both sexes,42.0,25.3,17.9,13.0,9.5,8.2,6.4,2.4,124.69999999999999
Montenegro,Male,70.8,40.5,27.7,18.7,14.3,13.8,10.7,4.0,200.5
Montenegro,Female,23.9,14.5,9.0,7.3,4.8,2.5,1.8,0.6,64.4
Morocco,Both sexes,18.5,7.9,4.6,3.3,3.4,3.8,3.8,1.1,46.4
Morocco,Male,16.2,7.5,3.1,2.4,3.1,3.7,2.8,0.8,39.6
Morocco,Female,20.0,8.2,6.0,4.2,3.7,3.9,4.8,1.5,52.3
Mozambique,Both sexes,76.3,41.9,17.1,11.5,7.2,6.5,6.1,2.9,169.49999999999997
Mozambique,Male,154.6,72.0,25.5,18.4,11.3,10.4,9.5,4.2,305.9
Mozambique,Female,27.7,20.4,10.4,6.0,3.8,2.9,2.8,1.5,75.5
Myanmar,Both sexes,26.6,15.7,11.7,8.8,8.8,10.3,12.3,4.7,98.9
Myanmar,Male,17.8,14.4,10.8,7.4,6.4,7.6,9.6,3.3,77.30000000000001
Myanmar,Female,32.1,16.7,12.4,10.1,11.0,12.9,15.0,6.2,116.39999999999999
Namibia,Both sexes,39.1,26.5,19.7,20.8,15.8,12.7,11.4,4.6,150.6
Namibia,Male,75.9,44.2,32.7,34.2,25.8,21.7,19.9,7.2,261.6
Namibia,Female,18.7,14.8,10.6,10.1,6.9,4.3,3.1,2.0,70.5
Nepal,Both sexes,38.6,18.4,12.5,10.8,9.6,10.8,15.8,6.0,122.5
Nepal,Male,59.0,24.8,17.6,15.7,12.5,11.9,16.4,5.0,162.89999999999998
Nepal,Female,22.8,12.7,8.1,5.9,7.0,9.9,15.3,7.0,88.7
Netherlands,Both sexes,32.8,16.9,17.3,19.3,15.0,12.3,8.3,2.4,124.3
Netherlands,Male,37.6,21.2,23.3,25.8,20.3,16.9,11.5,2.9,159.5
Netherlands,Female,29.9,13.0,11.4,12.8,9.7,7.6,5.1,1.8,91.29999999999998
New Zealand,Both sexes,21.7,9.0,8.1,14.6,16.4,14.3,18.1,11.2,113.4
New Zealand,Male,24.4,16.5,12.7,20.8,27.3,21.6,27.1,14.2,164.60000000000002
New Zealand,Female,19.7,2.2,3.8,8.9,6.5,7.5,8.7,8.1,65.39999999999999
Nicaragua,Both sexes,9.4,7.9,8.2,9.8,12.2,17.0,24.2,11.6,100.3
Nicaragua,Male,19.4,15.4,15.5,18.1,21.1,29.4,38.9,13.2,171.0
Nicaragua,Female,2.4,1.8,2.4,2.9,4.5,5.2,9.0,10.0,38.2
Niger,Both sexes,69.1,42.1,22.8,15.9,7.8,5.6,5.2,3.1,171.59999999999997
Niger,Male,94.7,49.6,26.5,18.0,10.2,8.6,7.7,4.0,219.3
Niger,Female,49.2,36.2,18.8,13.2,5.4,2.8,3.0,2.1,130.70000000000002
Nigeria,Both sexes,127.0,86.9,48.8,26.0,14.6,12.1,11.4,4.0,330.8
Nigeria,Male,130.7,74.0,41.7,25.0,17.0,14.7,13.9,4.3,321.29999999999995
Nigeria,Female,123.9,98.6,55.4,27.1,12.2,9.5,8.9,3.7,339.3
Norway,Both sexes,32.1,12.4,16.3,17.6,15.1,13.1,12.2,3.0,121.80000000000001
Norway,Male,37.1,17.4,20.9,22.8,20.2,18.7,17.0,3.9,158.0
Norway,Female,29.1,7.9,11.7,12.1,9.6,7.1,7.1,2.2,86.8
Oman,Both sexes,11.7,5.6,3.3,3.6,4.0,5.2,6.3,1.4,41.099999999999994
Oman,Male,16.4,8.5,4.7,4.7,5.1,6.7,8.5,2.4,57.0
Oman,Female,7.9,2.5,1.7,1.0,0.9,1.1,1.2,0.4,16.700000000000003
Pakistan,Both sexes,7.5,4.0,2.9,2.7,2.9,3.8,5.5,3.1,32.4
Pakistan,Male,7.5,4.0,3.2,3.2,3.6,4.5,4.9,2.1,33.0
Pakistan,Female,7.5,4.0,2.7,2.1,2.2,3.1,6.1,4.3,32.0
Panama,Both sexes,9.5,7.0,4.2,5.2,4.9,5.9,6.8,3.5,47.0
Panama,Male,15.7,13.5,8.1,8.7,8.7,10.3,11.9,5.5,82.4
Panama,Female,4.5,1.2,0.6,1.8,1.1,1.4,1.6,1.4,13.6
Papua New Guinea,Both sexes,20.6,12.0,10.6,7.9,6.5,7.8,11.2,5.2,81.8
Papua New Guinea,Male,33.0,17.1,15.3,11.6,10.0,12.2,16.3,6.5,122.0
Papua New Guinea,Female,13.7,8.2,6.5,4.2,2.8,3.2,5.9,3.8,48.3
Paraguay,Both sexes,11.0,7.8,8.3,7.6,8.2,11.4,19.9,9.6,83.80000000000001
Paraguay,Male,19.9,12.9,12.8,10.6,11.3,15.4,27.0,9.5,119.4
Paraguay,Female,4.2,3.1,3.7,4.5,5.0,7.1,12.6,9.7,49.9
Peru,Both sexes,11.7,8.7,8.3,7.2,6.8,6.3,6.5,2.8,58.3
Peru,Male,17.5,13.9,14.1,11.9,10.5,9.3,9.0,2.9,89.1
Peru,Female,7.8,4.1,3.1,2.8,3.1,3.1,3.9,2.6,30.499999999999996
Philippines,Both sexes,35.1,8.7,4.1,3.8,3.3,3.6,5.0,2.5,66.1
Philippines,Male,39.3,13.3,7.2,5.9,4.9,5.6,6.8,2.9,85.89999999999999
Philippines,Female,32.6,5.3,1.3,1.8,1.7,1.5,3.1,2.1,49.4
Poland,Both sexes,14.5,16.0,21.7,27.7,20.8,15.7,15.7,5.4,137.5
Poland,Male,35.8,33.3,40.1,49.4,35.5,27.9,28.2,8.4,258.6
Poland,Female,5.1,4.7,6.3,7.2,6.0,3.2,2.6,2.2,37.3
Portugal,Both sexes,47.3,28.7,18.1,16.8,13.8,8.7,4.7,1.3,139.4
Portugal,Male,94.9,48.4,29.6,26.5,22.0,14.5,7.9,1.9,245.7
Portugal,Female,20.2,13.6,8.2,8.1,6.1,3.2,1.5,0.7,61.599999999999994
Qatar,Both sexes,17.1,8.7,10.7,5.9,6.1,7.1,9.8,2.9,68.30000000000001
Qatar,Male,26.3,11.5,12.6,7.0,7.5,8.7,11.8,4.7,90.1
Qatar,Female,5.2,3.4,3.7,1.1,1.0,1.1,1.2,0.3,17.0
Republic of Korea,Both sexes,83.6,64.5,34.2,35.6,30.6,26.0,14.2,4.4,293.1
Republic of Korea,Male,155.0,104.4,54.2,56.8,44.1,33.9,16.9,4.9,470.2
Republic of Korea,Female,51.5,33.4,15.5,14.6,16.5,17.6,11.1,3.9,164.1
Republic of Moldova,Both sexes,19.7,13.6,26.9,27.8,23.8,13.6,11.4,7.1,143.9
Republic of Moldova,Male,34.5,23.4,51.3,53.6,44.5,23.2,19.2,11.1,260.8
Republic of Moldova,Female,12.9,7.9,8.7,5.9,4.3,3.7,3.5,2.9,49.8
Republic of North Macedonia,Both sexes,29.1,19.1,12.9,12.7,7.6,6.7,4.3,1.9,94.30000000000001
Republic of North Macedonia,Male,46.1,32.7,19.5,20.4,11.3,10.6,6.0,2.6,149.20000000000002
Republic of North Macedonia,Female,17.7,8.4,6.9,5.0,3.9,2.5,2.5,1.2,48.1
Romania,Both sexes,16.0,16.2,16.4,16.8,13.3,8.9,5.7,2.9,96.20000000000002
Romania,Male,31.6,32.3,30.1,30.9,22.4,15.0,9.4,4.1,175.8
Romania,Female,7.2,5.8,5.2,3.5,3.9,2.5,1.7,1.6,31.4
Russian Federation,Both sexes,46.7,35.2,30.8,37.7,38.4,49.7,33.1,8.2,279.79999999999995
Russian Federation,Male,101.0,76.6,61.4,72.4,70.0,88.4,56.5,11.9,538.2
